Source	Site	alt	cont	Treat	Block	Plot	uIDS	IDS	trans	size	flo.if	flo.no	cloning	clonesNext	surv	offspringNext	stage	stageNext	sizeNext
Gud	Gud	1	3	TT1	Gud_1	152	152.3	3	09_10	5,987560813	0	NA	0	NA	1	NA	continuous	continuous	5,125460766
Gud	Gud	1	3	TT1	Gud_1	152	152.4	4	09_10	4,78148262	0	NA	1	1	1	NA	continuous	continuous	4,783637303
Gud	Gud	1	3	TT1	Gud_1	152	152.5	5	09_10	5,127615448	0	NA	1	1	1	NA	continuous	continuous	4,78148262
Gud	Gud	1	3	TT1	Gud_1	152	152.6	6	09_10	7,193639005	0	NA	1	2	1	NA	continuous	continuous	5,641427984
Gud	Gud	1	3	TT1	Gud_1	152	152.7	7	09_10	6,157395203	0	NA	0	NA	1	NA	continuous	continuous	5,297449839
Gud	Gud	1	3	TT1	Gud_1	152	152.8	8	09_10	4,783637303	0	NA	0	NA	1	NA	continuous	continuous	4,78148262
Gud	Gud	1	3	TT1	Gud_1	152	152.9	9	09_10	5,643582667	0	NA	1	1	1	NA	continuous	continuous	4,609493547
Gud	Gud	1	3	TT1	Gud_1	152	152.11	11	09_10	4,7815	NA	NA	NA	NA	NA	clonal	NA	continuous	5,125460766
Gud	Gud	1	3	TT1	Gud_1	152	152.12	12	09_10	5,1276	NA	NA	NA	NA	NA	clonal	NA	continuous	4,783637303
Gud	Gud	1	3	TT1	Gud_1	152	152.13	13	09_10	5,6436	NA	NA	NA	NA	NA	clonal	NA	continuous	5,125460766
Gud	Gud	1	3	TT1	Gud_1	152	152.14	14	09_10	5,9876	NA	NA	NA	NA	NA	clonal	NA	continuous	5,641427984
Gud	Gud	1	3	TT1	Gud_1	152	152.15	15	09_10	7,1936	NA	NA	NA	NA	NA	clonal	NA	continuous	4,265515402
Gud	Gud	1	3	TT1	Gud_1	152	152.16	16	09_10	7,1936	NA	NA	NA	NA	NA	clonal	NA	continuous	3,921537256
Gud	Gud	1	3	TT1	Gud_1	152	152.17	17	09_10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Gud	Gud	1	3	TT1	Gud_1	152	152.18	18	09_10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Gud	Gud	1	3	TT1	Gud_1	152	152.19	19	09_10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Gud	Gud	1	3	TT1	Gud_2	158	158.1	1	09_10	5,125460766	0	NA	1	1	0	NA	continuous	dead	NA
Gud	Gud	1	3	TT1	Gud_2	158	158.10	10	09_10	7,01949525	0	NA	0	NA	1	NA	continuous	continuous	6,161704568
Gud	Gud	1	3	TT1	Gud_2	158	158.11	11	09_10	5,125460766	0	NA	0	NA	0	NA	continuous	dead	NA
Gud	Gud	1	3	TT1	Gud_2	158	158.12	12	09_10	4,955626376	0	NA	0	NA	1	NA	continuous	continuous	5,471593594
Gud	Gud	1	3	TT1	Gud_2	158	158.2	2	09_10	6,331538958	0	NA	1	1	0	NA	continuous	dead	NA
Gud	Gud	1	3	TT1	Gud_2	158	158.3	3	09_10	4,783637303	0	NA	1	1	1	NA	continuous	continuous	4,955626376
Gud	Gud	1	3	TT1	Gud_2	158	158.4	4	09_10	4,609493547	0	NA	0	NA	1	NA	continuous	continuous	5,475902959
Gud	Gud	1	3	TT1	Gud_2	158	158.5	5	09_10	4,955626376	0	NA	0	NA	1	NA	continuous	continuous	4,61164823
Gud	Gud	1	3	TT1	Gud_2	158	158.6	6	09_10	4,267670084	0	NA	1	1	1	NA	continuous	continuous	4,265515402
Gud	Gud	1	3	TT1	Gud_2	158	158.7	7	09_10	4,093526329	0	NA	0	NA	1	NA	continuous	continuous	3,749548183
Gud	Gud	1	3	TT1	Gud_2	158	158.8	8	09_10	4,78148262	0	NA	0	NA	1	NA	continuous	continuous	4,093526329
Gud	Gud	1	3	TT1	Gud_2	158	158.9	9	09_10	5,987560813	0	NA	0	NA	1	NA	continuous	continuous	5,817726422
Gud	Gud	1	3	TT1	Gud_2	158	158.13	13	09_10	5,1255	NA	NA	NA	NA	NA	clonal	NA	continuous	4,955626376
Gud	Gud	1	3	TT1	Gud_2	158	158.14	14	09_10	4,7836	NA	NA	NA	NA	NA	clonal	NA	continuous	5,81557174
Gud	Gud	1	3	TT1	Gud_2	158	158.15	15	09_10	4,2677	NA	NA	NA	NA	NA	clonal	NA	continuous	4,265515402
Gud	Gud	1	3	TT1	Gud_2	158	158.16	16	09_10	6,3315	NA	NA	NA	NA	NA	clonal	NA	continuous	5,125460766
Gud	Gud	1	3	TT1	Gud_2	158	158.17	17	09_10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Gud	Gud	1	3	TT1	Gud_2	158	158.18	18	09_10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Gud	Gud	1	3	TT1	Gud_2	158	158.19	19	09_10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Gud	Gud	1	3	TT1	Gud_2	158	158.20	20	09_10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Gud	Gud	1	3	TT1	Gud_3	163	163.1	1	09_10	5,81557174	0	NA	0	NA	0	NA	continuous	dead	NA
Gud	Gud	1	3	TT1	Gud_3	163	163.2	2	09_10	6,677671787	0	NA	1	1	1	NA	continuous	continuous	5,473748277
Gud	Gud	1	3	TT1	Gud_3	163	163.3	3	09_10	5,98540613	0	NA	0	NA	1	NA	continuous	continuous	5,641427984
Gud	Gud	1	3	TT1	Gud_3	163	163.4	4	09_10	6,503528031	0	NA	0	NA	1	NA	continuous	continuous	6,847506177
